"","wd","get(i)","get(i)","get(i)"
"www.facebook.com",143.333333333333,0.00748462977813419,0.0447684391080618,143.333333333333
"twitter.com",77.3333333333333,0,0.0285370653837743,77.3333333333333
"www.mrctv.org",70.6666666666667,0,0.0359603196472858,70.6666666666667
"groobiecat.blogspot.com",31.3333333333333,0,0.0395095367847412,31.3333333333333
"townhall.com",32,0,0.0262945798911949,32
"scontent.xx.fbcdn.net",18,0,0.0117408906882591,18
"clatl.com",60,0,0.0392953929539296,60
"www.youtube.com",22.6666666666667,0.00414327719861,0.0423014586709887,22.6666666666667
"www.youngcons.com",51.3333333333333,0,0.037126600284495,51.3333333333333
"www.gao.gov",4.66666666666667,0,0.0114886873844529,4.66666666666667
"www.flickr.com",4.66666666666667,0,0.0114886873844529,4.66666666666667
"www.snopes.com",4.66666666666667,0,0.0377058653568333,4.66666666666667
"www.politifact.com",29.3333333333333,0,0.0346245688511542,29.3333333333333
"www.state.gov",26,0,0.0419749115471213,26
"www.amazon.com",9.33333333333333,0,0.0392953929539295,9.33333333333333
"www.whitehouse.gov",22,0,0.0374247203900201,22
"docs.google.com",12.6666666666667,0,0.021552436003303,12.6666666666667
"www.oecd.org",8.66666666666667,0,0.0332145584118096,8.66666666666667
"news.bbc.co.uk",4.66666666666667,0,0.0377058653568333,4.66666666666667
"nymag.com",4.66666666666667,0,0.0377058653568333,4.66666666666667
"www.dol.gov",4.66666666666667,0,0.0377058653568333,4.66666666666667
"www.nytimes.com",13.3333333333333,0,0.0290840205036773,13.3333333333333
"www.businessinsider.com",4.66666666666667,0,0.0377058653568333,4.66666666666667
"www.cbp.gov",8.66666666666667,0,0.0281068274822313,8.66666666666667
"cbo.gov",8.66666666666667,0,0.0233577948809737,8.66666666666667
"www.cq.com",8.66666666666667,0,0.0218336958340304,8.66666666666667
"www.uscis.gov",8.66666666666667,0,0.0281068274822313,8.66666666666667
"www.cms.gov",8.66666666666667,0,0.0233577948809737,8.66666666666667
"www.huduser.org",8.66666666666667,0,0.0332145584118096,8.66666666666667
"maplight.org",8.66666666666667,0,0.0117134907099901,8.66666666666667
"www.cbo.gov",13.3333333333333,0,0.0347907224740069,13.3333333333333
"thelastword.msnbc.msn.com",4.66666666666667,0,0.035940512255577,4.66666666666667
"www.icrc.org",4.66666666666667,0,0.0377058653568333,4.66666666666667
"www.presidency.ucsb.edu",4.66666666666667,0,0.0377058653568333,4.66666666666667
"www.remappingdebate.org",4.66666666666667,0,0.0377058653568333,4.66666666666667
"www.statbank.dk",4.66666666666667,0,0.0377058653568333,4.66666666666667
"www.wired.com",4.66666666666667,0,0.0377058653568333,4.66666666666667
"www.mcdonalds.dk",4.66666666666667,0,0.0377058653568333,4.66666666666667
"www.opcw.org",4.66666666666667,0,0.0377058653568333,4.66666666666667
"america.aljazeera.com",4.66666666666667,0,0.0377058653568333,4.66666666666667
"blogs.discovermagazine.com",4.66666666666667,0,0.0377058653568333,4.66666666666667
"blogs.reuters.com",4.66666666666667,0,0.0377058653568333,4.66666666666667
"www.bls.gov",9.33333333333333,0,0.0406668744157058,9.33333333333333
"taxfoundation.org",4.66666666666667,0,0.0377058653568333,4.66666666666667
"www.bt.cdc.gov",4.66666666666667,0,0.0377058653568333,4.66666666666667
"www.cjr.org",4.66666666666667,0,0.0377058653568333,4.66666666666667
"www.detroitnews.com",4.66666666666667,0,0.035940512255577,4.66666666666667
"drive.google.com",4.66666666666667,0,0.0377058653568333,4.66666666666667
"cwc.fas.org",4.66666666666667,0,0.0377058653568333,4.66666666666667
"cdn.gop.com",4.66666666666667,0,0.0377058653568333,4.66666666666667
"nlihc.org",4.66666666666667,0,0.0377058653568333,4.66666666666667
"nces.ed.gov",4.66666666666667,0,0.0377058653568333,4.66666666666667
"diplopundit.net",4.66666666666667,0,0.0321349421324797,4.66666666666667
"jakarta.usembassy.gov",4.66666666666667,0,0.0321349421324797,4.66666666666667
"m.snopes.com",4.66666666666667,0,0.0321349421324797,4.66666666666667
"www.thegatewaypundit.com",4.66666666666667,0,0.0321349421324797,4.66666666666667
"www.thefederalistpapers.org",4.66666666666667,0,0.0321349421324797,4.66666666666667
"articles.ocregister.com",4.66666666666667,0,0.0114886873844529,4.66666666666667
"www.taxfoundation.org",4.66666666666667,0,0.0114886873844529,4.66666666666667
"www.thejakartapost.com",4.66666666666667,0,0.0321349421324797,4.66666666666667
"www.history.com",4.66666666666667,0,0.0321349421324797,4.66666666666667
"lirs.org",4.66666666666667,0,0.0312574850299401,4.66666666666667
"www.unicef.org",4.66666666666667,0,0.0312574850299401,4.66666666666667
"www.pewresearch.org",4.66666666666667,0,0.0312574850299401,4.66666666666667
"www.ncsl.org",4.66666666666667,0,0.0312574850299401,4.66666666666667
"www.americanthinker.com",4.66666666666667,0,0.0321349421324797,4.66666666666667
"www.latimes.com",4.66666666666667,0,0.0312574850299401,4.66666666666667
"www.pewforum.org",4.66666666666667,0,0.0321349421324797,4.66666666666667
"www.marketwatch.com",4.66666666666667,0,0.0339049103663289,4.66666666666667
"www.mittromney.com",4.66666666666667,0,0.0339049103663289,4.66666666666667
"blogs.ajc.com",4.66666666666667,0,0.0337470907680372,4.66666666666667
"firedoglake.com",4.66666666666667,0,0.0337470907680372,4.66666666666667
"tpmdc.talkingpointsmemo.com",4.66666666666667,0,0.0337470907680372,4.66666666666667
"www.thepostemail.com",4.66666666666667,0,0.0337470907680372,4.66666666666667
"www.starkreports.com",4.66666666666667,0,0.0337470907680372,4.66666666666667
"www.slate.com",4.66666666666667,0,0.0337470907680372,4.66666666666667
