Source,website,page_url,TRUE,FALSE
www.facebook.com,www.cambridgema.gov,2,0,2
hdl.loc.gov,www.consumersunion.org,2,0,2
abcnews.go.com,abcnews.go.com,2,0,2
twitter.com,cbo.gov,2,2,0
www.facebook.com,www.fcor.state.fl.us,2,0,2
www.motherjones.com,www.healthcare.gov,2,0,2
jesus-loves-you.org,books.google.com,2,0,2
www.learnprogress.org,www.cnn.com,2,0,2
www.facebook.com,www.fas.org,2,0,2
media.journalinteractive.com,media.journalinteractive.com,2,0,2
www.learnprogress.org,www.nbcnews.com,2,0,2
townhall.com,http:,2,0,2
americannews.com,www.snopes.com,2,0,2
townhall.com,townhall.com,2,1,1
justicegazette.org,vote.sos.ca.gov,2,0,2
townhall.com,www.cq.com,2,2,0
www.facebook.com,www.globalsecurity.org,2,0,2
good-times.webshots.com,www.opencongress.org,2,0,2
www.mrctv.org,www.uscis.gov,2,2,0
www.facebook.com,web.archive.org,2,0,2
nationalreport.net,nationalreport.net,2,0,2
archive.org,hemphoax.org,2,0,2
floridanewsflash.com,www.washingtontimes.com,2,0,2
floridanewsflash.com,www.wsj.com,2,0,2
twitter.com,www.ons.gov.uk,2,0,2
www.youtube.com,static.politifact.com,2,0,2
freedomdaily.com,www.ohchr.org,2,0,2
www.mystatesman.com,www.uscis.gov,2,0,2
www.facebook.com,www.huffingtonpost.com,2,0,2
thetrumpmedia.com,www.washingtonpost.com,2,0,2
www.facebook.com,www.gunpolicy.org,2,0,2
twitter.com,www.cms.gov,2,2,0
freepatriot.org,media.jrn.com,2,0,2
www.facebook.com,www.huduser.org,2,2,0
scontent.xx.fbcdn.net,maplight.org,2,2,0
twitter.com,www.cbo.gov,2,2,0
www.myfoxhouston.com,www.myfoxhouston.com,2,0,2
twitter.com,www.c-span.org,2,0,2
twitter.com,www.brookings.edu,2,0,2
www.msnbc.msn.com,www.johnmccain.com,2,0,2
dailyleak.org,dailyleak.org,2,0,2
www.politicalears.com,www.politicalears.com,2,0,2
www.facebook.com,www.documentcloud.org,2,0,2
sovereigncitizens.org,sovereignty.net,2,0,2
www.aclu.org,www.aclu.org,2,0,2
www.redflagnews.com,www.cms.gov,2,0,2
alaskareport.com,www.legis.state.ak.us,2,0,2
dailycaller.com,dailycaller.com,2,0,2
abcnews.go.com,www.propublica.org,2,0,2
www.youtube.com,www.tampabay.com,2,0,2
www.dailymail.co.uk,twitter.com,2,0,2
www.facebook.com,www.whitehouse.gov,2,0,2
www.youtube.com,faculty.washington.edu,2,0,2
www.fireandreamitchell.com,www.state.gov,2,0,2
clatl.com,www.youtube.com,2,2,0
www.beliefnet.com,www.politifact.com,2,0,2
www.snopes.com,docs.google.com,2,0,2
www.youngcons.com,www.youngcons.com,2,1,1
www.youtube.com,www.pewhispanic.org,2,0,2
sovereigncitizens.org,www.politifact.com,2,0,2
www.vanityfair.com,espnmediazone.com,2,0,2
politicono.com,politicono.com,2,0,2
www.senate.gov,www.senate.gov,2,0,2
www.rushlimbaugh.com,pajamasmedia.com,2,0,2
politicot.com,www.politifact.com,2,0,2
www.globalresearch.ca,www.infowars.com,2,0,2
politicot.com,www.cnn.com,2,0,2
conservativetribune.com,conservativetribune.com,2,0,2
www.documentcloud.org,www.miamiherald.com,2,0,2
www.documentcloud.org,www.politifact.com,2,0,2
www.globalresearch.ca,www.politifact.com,2,0,2
peacemoonbeam.typepad.com,answers.yahoo.com,2,0,2
sovereigncitizens.org,cpc.grijalva.house.gov,2,0,2
cannasos.com,www.nbcnews.com,2,0,2
uspoln.com,politicops.com,2,0,2
www.breitbart.com,www.snopes.com,2,0,2
smag31.com,www.ncbi.nlm.nih.gov,2,0,2
usapoliticszone.com,www.politifact.com,2,0,2
www.westernjournalism.com,fl.cair.com,2,0,2
www.aclu.org,www.wired.com,2,0,2
www.examiner.com,www.scstatehouse.gov,2,0,2
www.westernjournalism.com,www.westernjournalism.com,2,0,2
www.washingtonpost.com,www.washingtonpost.com,2,0,2
usasnich.com,usasnich.com,2,0,2
www.tdtalliance.com,www.tdtalliance.com,2,0,2
www.ibdeditorials.com,www.washingtonpost.com,2,0,2
www.politifact.com,www.slcelections.com,2,0,2
realtimepolitics.com,www.snopes.com,2,0,2
www.facebook.com,www.unodc.org,2,0,2
www.fireandreamitchell.com,www.fas.org,2,0,2
www.theverge.com,twitter.com,2,0,2
www.politifact.com,www.thewallstreetshuffle.com,2,0,2
dailycaller.com,www.fda.gov,2,0,2
www.beliefnet.com,www.forbes.com,2,0,2
www.census.gov,www.census.gov,2,0,2
shark-tank.net,shark-tank.net,2,0,2
www.fireandreamitchell.com,www.foxnews.com,2,0,2
www.washingtonpost.com,docs.google.com,2,0,2
