Source,website,Monday,Elections,Military,Thursday,Religion,Friday,Saturday,TRUE,History,Tuesday,Wednesday,Sunday,page_url,Health Care,FALSE
www.wakeupfromyourslumber.com,www.uticaod.com,0,0,0,0,3,0,0,0,0,0,3,0,3,0,3
sovereigncitizens.org,www.politico.com,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3
www.fbo.gov,www.afpc.af.mil,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3
www.fireandreamitchell.com,fas.org,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
republicbroadcasting.org,www.blm.gov,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3
www.globalresearch.ca,twitter.com,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3
www.facebook.com,www.opensecrets.org,0,0,0,0,0,2,0,0,0,0,1,0,3,0,3
www.heritage.org,www.heritage.org,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
www.ibdeditorials.com,www.ibdeditorials.com,0,0,0,1,0,0,0,0,0,0,2,0,3,0,3
www.facebook.com,www.cis.org,0,0,0,0,0,0,0,0,0,1,2,0,3,0,3
twitter.com,docs.google.com,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0
www.infowars.com,www.infowars.com,0,0,0,0,0,1,0,0,0,0,2,0,3,0,3
www.infowars.com,www.usaid.gov,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3
www.snopes.com,www.snopes.com,1,0,0,0,0,1,0,0,0,0,1,0,3,0,3
onlineathens.com,www.census.gov,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
abcnews.com.co,www.washingtonpost.com,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3
americannews.com,americannews.com,2,0,0,0,0,0,0,0,0,1,0,0,3,1,3
www.youtube.com,www.wftv.com,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3
www.youtube.com,kerry.senate.gov,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3
www.breitbart.com,www.sanders.senate.gov,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.facebook.com,gawker.com,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2
www.outsidethebeltway.com,www.youtube.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
www.irs.gov,epi.3cdn.net,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
fbcdn-sphotos-e-a.akamaihd.net,www.presidency.ucsb.edu,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
www.facebook.com,www.oecd.org,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0
newsexaminer.net,newsexaminer.net,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2
uppitywis.org,media.jsonline.com,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
uppitywis.org,legis.wisconsin.gov,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
theseattletribune.com,theseattletribune.com,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2
www.organicandhealthy.org,timesofindia.indiatimes.com,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
newsdaily12.com,newsdaily12.com,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
therightists.com,www.cbsnews.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
newcenturytimes.com,talkingpointsmemo.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.facebook.com,news.bbc.co.uk,1,0,0,0,0,0,0,1,0,1,0,0,2,0,1
floridanewsflash.com,dailysignal.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.facebook.com,nymag.com,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1
americannews.com,www.facebook.com,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2
www.facebook.com,online.wsj.com,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
www.jewsnews.co.il,www.paaia.org,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
www.facebook.com,pewhispanic.org,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
floridanewsflash.com,www.americanbanker.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.facebook.com,www.pewhispanic.org,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
donaldtrumppotus45.com,www.latimes.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
www.infowars.com,www.nytimes.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.youngcons.com,democrats.benghazi.house.gov,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
usanewstoday.org,www.politifact.com,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
thelastlineofdefense.org,thelastlineofdefense.org,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2
www.ilga.gov,www.cbn.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
usanewstoday.org,usanewstoday.org,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2
data.bls.gov,www.census.gov,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
www.ilga.gov,www.factcheck.org,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
departedmedia.com,thehill.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.politifact.com,sovereigncitizens.org,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2
www.politifact.com,newswatch33.com,0,0,0,2,0,0,0,0,2,0,0,0,2,0,2
www.politifact.com,cpc.grijalva.house.gov,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2
usa-television.com,travel.state.gov,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
www.politicalears.com,www.snopes.com,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2
www.facebook.com,www.dol.gov,1,0,0,0,0,1,0,1,0,0,0,0,2,0,1
www.ilga.gov,www.prochoiceamerica.org,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
onlineathens.com,pubs.usgs.gov,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.facebook.com,data.bls.gov,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2
www.infowars.com,www.lakeland.com,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
thenewyorkevening.com,www.wwe.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.facebook.com,www.politico.com,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2
undergroundnewsreport.com,undergroundnewsreport.com,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2
nationalreport.net,www.snopes.com,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2
floridanewsflash.com,www.foxnews.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.ilga.gov,factcheck.barackobama.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
nationalreport.net,www.facebook.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
tn4politicaljustice.wordpress.com,www.documentcloud.org,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
www.mrctv.org,www.nytimes.com,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0
tn4politicaljustice.wordpress.com,www.nashvillescene.com,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
www.facebook.com,www.businessinsider.com,0,0,0,1,0,0,0,1,0,1,0,0,2,0,1
www.mrctv.org,www.cbp.gov,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0
www.facebook.com,www.cambridgema.gov,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
hdl.loc.gov,www.consumersunion.org,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
abcnews.go.com,abcnews.go.com,1,0,0,1,0,0,0,0,1,0,0,0,2,0,2
twitter.com,cbo.gov,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0
www.facebook.com,www.fcor.state.fl.us,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.motherjones.com,www.healthcare.gov,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2
jesus-loves-you.org,books.google.com,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
www.learnprogress.org,www.cnn.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
www.facebook.com,www.fas.org,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2
media.journalinteractive.com,media.journalinteractive.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.learnprogress.org,www.nbcnews.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
townhall.com,http:,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
americannews.com,www.snopes.com,1,0,0,0,0,0,0,0,0,1,0,0,2,1,2
townhall.com,townhall.com,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1
justicegazette.org,vote.sos.ca.gov,0,2,0,0,0,2,0,0,0,0,0,0,2,0,2
townhall.com,www.cq.com,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0
www.facebook.com,www.globalsecurity.org,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
good-times.webshots.com,www.opencongress.org,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
www.mrctv.org,www.uscis.gov,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0
www.facebook.com,web.archive.org,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2
nationalreport.net,nationalreport.net,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2
archive.org,hemphoax.org,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
floridanewsflash.com,www.washingtontimes.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
floridanewsflash.com,www.wsj.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
twitter.com,www.ons.gov.uk,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
www.youtube.com,static.politifact.com,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
freedomdaily.com,www.ohchr.org,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
www.mystatesman.com,www.uscis.gov,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
www.facebook.com,www.huffingtonpost.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
thetrumpmedia.com,www.washingtonpost.com,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
www.facebook.com,www.gunpolicy.org,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
twitter.com,www.cms.gov,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0
freepatriot.org,media.jrn.com,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
www.facebook.com,www.huduser.org,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0
scontent.xx.fbcdn.net,maplight.org,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0
twitter.com,www.cbo.gov,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0
www.myfoxhouston.com,www.myfoxhouston.com,0,0,0,0,0,2,0,0,2,0,0,0,2,0,2
twitter.com,www.c-span.org,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
twitter.com,www.brookings.edu,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
www.msnbc.msn.com,www.johnmccain.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
dailyleak.org,dailyleak.org,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
www.politicalears.com,www.politicalears.com,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2
www.facebook.com,www.documentcloud.org,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
sovereigncitizens.org,sovereignty.net,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
www.aclu.org,www.aclu.org,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
www.redflagnews.com,www.cms.gov,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
alaskareport.com,www.legis.state.ak.us,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
dailycaller.com,dailycaller.com,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2
abcnews.go.com,www.propublica.org,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
www.youtube.com,www.tampabay.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
www.dailymail.co.uk,twitter.com,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
www.facebook.com,www.whitehouse.gov,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2
www.youtube.com,faculty.washington.edu,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
