Source,Destination,Monday,Elections,Military,Thursday,Religion,Friday,Saturday,TRUE,History,Tuesday,Wednesday,Sunday,page_url,Health Care,FALSE,jaccard_coeff_connection,Neighbor_connection,jaccard_coeff_common_destination,Neighbor_common_destination,jaccard_coeff_common_source,Neighbor_common_source,SourceSite_outdeg_real,DestSite_outdeg_real,SourceSite_outdeg_fake,DestSite_outdeg_fake,SourceSite_indeg_fake,DestSite_indeg_fake,DestSite_indeg_real,SourceSite_indeg_real,mutuality_ind,MedianPolarityScore,Label
wrongwayrubio.com,www.rubio.senate.gov,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0.0,0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,6,0,0.0,0.0,0.0,0
www.facebook.com,www.forbes.com,2,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0.006369426751592357,1,0.0,0,0.07692307692307693,1,30,0.0,225,0.0,10.0,9,0,1.0,0.0,-0.0788,0
www.facebook.com,www.senate.gov,0,0,0,0,0,0,0,0,0,2,1,0,3,0,3,0.018867924528301886,3,0.020270270270270268,3,0.0,0,30,0.0,225,6.0,10.0,6,0,1.0,0.0,-0.2732,0
www.politicalears.com,www.alsa.org,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0.0,0,0.0,0,0.0,0,0,0.0,11,0.0,0.0,3,0,0.0,0.0,0.0,0
www.facebook.com,www.fns.usda.gov,0,0,0,0,0,0,0,0,0,2,1,0,3,0,3,0.0,0,0.0,0,0.0,0,30,0.0,225,0.0,10.0,3,0,1.0,0.0,0.0,0
www.facebook.com,www.factcheck.org,0,0,0,0,0,1,0,0,0,0,2,0,3,0,3,0.006369426751592357,1,0.0,0,0.0,0,30,0.0,225,0.0,10.0,8,1,1.0,0.0,0.0,0
dailycaller.com,drive.google.com,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0.027777777777777776,1,0.0,0,0.0,0,0,0.0,39,0.0,3.0,6,1,0.0,0.0,0.0,0
www.facebook.com,www.congress.gov,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0.0,0,0.0,0,0.0,0,30,0.0,225,0.0,10.0,4,0,1.0,0.0,-0.2695,0
www.rushlimbaugh.com,townhall.com,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.0,0,0.0,0,0.0,0,0,7.0,10,6.0,1.0,3,0,0.0,0.0,-0.3612,0
www.learnprogress.org,www.cnbc.com,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0.0,0,0.0,0,0.0,0,0,0.0,19,0.0,0.0,5,0,0.0,0.0,0.0,0
nation.foxnews.com,www.cbsnews.com,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0.0,0,0.0,0,0.0,0,0,0.0,12,0.0,1.0,11,0,0.0,0.0,0.0,0
usapoliticszone.com,www.cnn.com,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0.0,0,0.0,0,0.0,0,0,0.0,9,0.0,0.0,19,0,0.0,0.0,0.0,0
twitter.com,georgewbush-whitehouse.archives.gov,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0.0,0,0.0,0,0.0,0,18,0.0,32,0.0,12.0,3,0,0.0,0.0,-0.4767,0
thelastlineofdefense.org,www.politifact.com,2,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0.042857142857142864,3,0.0,0,0.08108108108108109,3,0,0.0,7,35.0,4.0,75,7,0.0,0.0,-0.7184,0
www.facebook.com,www.washingtonpost.com,1,0,0,0,0,0,0,0,0,1,1,0,3,0,3,0.0273224043715847,5,0.006535947712418301,1,0.12903225806451613,4,30,0.0,225,10.0,10.0,35,0,1.0,0.0,-0.5574,0
standupforthetruth.com,docs.google.com,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0.0,0,0.0,0,0.0,0,0,0.0,3,15.0,0.0,11,3,0.0,0.0,-0.5994,0
www.wakeupfromyourslumber.com,www.uticaod.com,0,0,0,0,3,0,0,0,0,0,3,0,3,0,3,0.0,0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,3,0,0.0,0.0,-0.4404,0
sovereigncitizens.org,www.politico.com,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0.0,0,0.0,0,0.0,0,0,0.0,18,0.0,3.0,17,0,0.0,0.0,0.0,0
www.fbo.gov,www.afpc.af.mil,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0.0,0,0.0,0,0.0,0,0,0.0,17,0.0,0.0,3,0,0.0,0.0,0.0,0
www.fireandreamitchell.com,fas.org,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0.0,0,0.0,0,0.0,0,0,0.0,26,0.0,1.0,5,0,0.0,0.0,0.0,0
republicbroadcasting.org,www.blm.gov,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0.0,0,0.0,0,0.0,0,0,0.0,12,0.0,0.0,3,0,0.0,0.0,-0.6249,0
www.globalresearch.ca,twitter.com,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0.0,0,0.0,0,0.0,0,0,18.0,19,32.0,0.0,12,0,0.0,0.0,0.6369,0
www.facebook.com,www.opensecrets.org,0,0,0,0,0,2,0,0,0,0,1,0,3,0,3,0.006493506493506494,1,0.0,0,0.0,0,30,0.0,225,0.0,10.0,5,0,1.0,0.0,0.3818,0
www.facebook.com,www.cis.org,0,0,0,0,0,0,0,0,0,1,2,0,3,0,3,0.0,0,0.0,0,0.0,0,30,0.0,225,0.0,10.0,3,0,1.0,0.0,0.0,0
twitter.com,docs.google.com,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0.01818181818181818,1,0.0,0,0.0,0,18,0.0,32,15.0,12.0,11,3,0.0,0.0,0.4939,1
www.infowars.com,www.usaid.gov,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0.0,0,0.0,0,0.0,0,0,0.0,21,0.0,3.0,5,0,0.0,0.0,0.0,0
onlineathens.com,www.census.gov,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0.0,0,0.0,0,0.0,0,0,0.0,9,3.0,0.0,6,0,0.0,0.0,0.0,0
abcnews.com.co,www.washingtonpost.com,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0.02564102564102564,1,0.0,0,0.037037037037037035,1,0,0.0,5,10.0,1.0,35,0,0.0,0.0,-0.25,0
www.youtube.com,www.wftv.com,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0.0,0,0.0,0,0.0,0,3,0.0,43,0.0,23.0,3,0,2.0,0.0,-0.4588,0
www.youtube.com,kerry.senate.gov,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0.0,0,0.0,0,0.0,0,3,0.0,43,0.0,23.0,3,0,2.0,0.0,-0.2732,0
www.breitbart.com,www.sanders.senate.gov,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,17,0.0,5.0,2,0,0.0,0.0,0.5106,0
www.facebook.com,gawker.com,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0.0,0,0.0,0,0.0,0,30,0.0,225,0.0,10.0,4,0,1.0,0.0,0.31720000000000004,0
www.outsidethebeltway.com,www.youtube.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,3.0,7,43.0,0.0,23,2,0.0,0.0,0.0,0
www.irs.gov,epi.3cdn.net,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,7,0.0,1.0,2,0,0.0,0.0,0.0,0
fbcdn-sphotos-e-a.akamaihd.net,www.presidency.ucsb.edu,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,9,0.0,0.0,3,1,0.0,0.0,0.0,0
www.facebook.com,www.oecd.org,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0.0,0,0.0,0,0.0,0,30,0.0,225,0.0,10.0,0,2,1.0,0.0,0.0,1
uppitywis.org,media.jsonline.com,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,7,0.0,0.0,2,0,0.0,0.0,-0.0516,0
uppitywis.org,legis.wisconsin.gov,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,7,0.0,0.0,2,0,0.0,0.0,-0.0516,0
www.organicandhealthy.org,timesofindia.indiatimes.com,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,10,0.0,0.0,2,0,0.0,0.0,0.0,0
therightists.com,www.cbsnews.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,2,0.0,1.0,11,0,0.0,0.0,-0.5574,0
newcenturytimes.com,talkingpointsmemo.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,3,0,0.0,0.0,0.0772,0
www.facebook.com,news.bbc.co.uk,1,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0.0,0,0.0,0,0.0,0,30,0.0,225,0.0,10.0,2,1,1.0,0.0,-0.28595,0
floridanewsflash.com,dailysignal.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,30,0.0,0.0,2,0,0.0,0.0,-0.2263,0
www.facebook.com,nymag.com,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0.0,0,0.0,0,0.0,0,30,0.0,225,0.0,10.0,2,1,1.0,0.0,-0.28595,0
americannews.com,www.facebook.com,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0.01910828025477707,3,0.02,3,0.0,0,0,30.0,14,225.0,0.0,10,1,0.0,0.0,-0.5994,0
www.facebook.com,online.wsj.com,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0064516129032258064,1,0.0,0,0.0,0,30,0.0,225,0.0,10.0,5,0,1.0,0.0,-0.0788,0
