"","Source","website","page_url","TRUE.","FALSE."
"103","usanewstoday.org","www.politifact.com",2,0,2
"104","thelastlineofdefense.org","thelastlineofdefense.org",2,0,2
"105","www.ilga.gov","www.cbn.com",2,0,2
"106","usanewstoday.org","usanewstoday.org",2,0,2
"107","data.bls.gov","www.census.gov",2,0,2
"108","www.ilga.gov","www.factcheck.org",2,0,2
"109","departedmedia.com","thehill.com",2,0,2
"110","www.politifact.com","sovereigncitizens.org",2,0,2
"111","www.politifact.com","newswatch33.com",2,0,2
"112","www.politifact.com","cpc.grijalva.house.gov",2,0,2
"113","usa-television.com","travel.state.gov",2,0,2
"114","www.politicalears.com","www.snopes.com",2,0,2
"115","www.facebook.com","www.dol.gov",2,1,1
"116","www.ilga.gov","www.prochoiceamerica.org",2,0,2
"117","onlineathens.com","pubs.usgs.gov",2,0,2
"118","www.facebook.com","data.bls.gov",2,0,2
"119","www.infowars.com","www.lakeland.com",2,0,2
"120","thenewyorkevening.com","www.wwe.com",2,0,2
"121","www.facebook.com","www.politico.com",2,0,2
"122","undergroundnewsreport.com","undergroundnewsreport.com",2,0,2
"123","nationalreport.net","www.snopes.com",2,0,2
"124","floridanewsflash.com","www.foxnews.com",2,0,2
"125","www.ilga.gov","factcheck.barackobama.com",2,0,2
"126","nationalreport.net","www.facebook.com",2,0,2
"127","tn4politicaljustice.wordpress.com","www.documentcloud.org",2,0,2
"128","www.mrctv.org","www.nytimes.com",2,2,0
"129","tn4politicaljustice.wordpress.com","www.nashvillescene.com",2,0,2
"130","www.facebook.com","www.businessinsider.com",2,1,1
"131","www.mrctv.org","www.cbp.gov",2,2,0
"132","www.facebook.com","www.cambridgema.gov",2,0,2
"133","hdl.loc.gov","www.consumersunion.org",2,0,2
"134","abcnews.go.com","abcnews.go.com",2,0,2
"135","twitter.com","cbo.gov",2,2,0
"136","www.facebook.com","www.fcor.state.fl.us",2,0,2
"137","www.motherjones.com","www.healthcare.gov",2,0,2
"138","jesus-loves-you.org","books.google.com",2,0,2
"139","www.learnprogress.org","www.cnn.com",2,0,2
"140","www.facebook.com","www.fas.org",2,0,2
"141","media.journalinteractive.com","media.journalinteractive.com",2,0,2
"142","www.learnprogress.org","www.nbcnews.com",2,0,2
"143","townhall.com","http:",2,0,2
"144","americannews.com","www.snopes.com",2,0,2
"145","townhall.com","townhall.com",2,1,1
"146","justicegazette.org","vote.sos.ca.gov",2,0,2
"147","townhall.com","www.cq.com",2,2,0
"148","www.facebook.com","www.globalsecurity.org",2,0,2
"149","good-times.webshots.com","www.opencongress.org",2,0,2
"150","www.mrctv.org","www.uscis.gov",2,2,0
"151","www.facebook.com","web.archive.org",2,0,2
"152","nationalreport.net","nationalreport.net",2,0,2
"153","archive.org","hemphoax.org",2,0,2
"154","floridanewsflash.com","www.washingtontimes.com",2,0,2
"155","floridanewsflash.com","www.wsj.com",2,0,2
"156","twitter.com","www.ons.gov.uk",2,0,2
"157","www.youtube.com","static.politifact.com",2,0,2
"158","freedomdaily.com","www.ohchr.org",2,0,2
"159","www.mystatesman.com","www.uscis.gov",2,0,2
"160","www.facebook.com","www.huffingtonpost.com",2,0,2
"161","thetrumpmedia.com","www.washingtonpost.com",2,0,2
"162","www.facebook.com","www.gunpolicy.org",2,0,2
"163","twitter.com","www.cms.gov",2,2,0
"164","freepatriot.org","media.jrn.com",2,0,2
"165","www.facebook.com","www.huduser.org",2,2,0
"166","scontent.xx.fbcdn.net","maplight.org",2,2,0
"167","twitter.com","www.cbo.gov",2,2,0
"168","www.myfoxhouston.com","www.myfoxhouston.com",2,0,2
"169","twitter.com","www.c-span.org",2,0,2
"170","twitter.com","www.brookings.edu",2,0,2
"171","www.msnbc.msn.com","www.johnmccain.com",2,0,2
"172","dailyleak.org","dailyleak.org",2,0,2
"173","www.politicalears.com","www.politicalears.com",2,0,2
"174","www.facebook.com","www.documentcloud.org",2,0,2
"175","sovereigncitizens.org","sovereignty.net",2,0,2
"176","www.aclu.org","www.aclu.org",2,0,2
"177","www.redflagnews.com","www.cms.gov",2,0,2
"178","alaskareport.com","www.legis.state.ak.us",2,0,2
"179","dailycaller.com","dailycaller.com",2,0,2
"180","abcnews.go.com","www.propublica.org",2,0,2
"181","www.youtube.com","www.tampabay.com",2,0,2
"182","www.dailymail.co.uk","twitter.com",2,0,2
"183","www.facebook.com","www.whitehouse.gov",2,0,2
"184","www.youtube.com","faculty.washington.edu",2,0,2
"185","www.fireandreamitchell.com","www.state.gov",2,0,2
"186","clatl.com","www.youtube.com",2,2,0
